2899	ö.	
1000	age.	
1000	agm.	
1000	agy.	
1000	Alb.	
1000	Alm.	
1000	anat.	
1000	ant.	
1000	Apt.	
1000	Ar.	
1000	ark.	
1000	Arş.Gör.	
1000	As.	
1000	As.İz.	
1000	astr.	
1000	astrol.	
1000	Atğm.	
1000	atm.	
1000	Av.	
1000	bağ.	
1000	Bçvş.	
1000	bit.b.	
1000	biy.	
1000	bk.	
1000	bl.	
1000	Bl.	
1000	Bn.	
1000	Bnb.	
1000	bot.	
1000	Böl.	
1000	bs.	
1000	Bşk.	
1000	Bul.	
1000	Bulg.	
1000	Cad.	
1000	coğ.	
1000	Cum.Bşk.	
1000	çev.	
1000	Çvş.	
1000	db.	
1000	dk.	
1000	Doç.	
1000	doğ.	
1000	Dr.	
1000	drl.	
1000	Dz.Kuv. K.	
1000	Dz.Kuv.	
1000	dzl.	
1000	Ecz.	
1000	ed.	
1000	ekon.	
1000	Ens.	
1000	Erm.	
1000	Fak.	
1000	Far.	
1000	f il.	
1000	f iz.	
1000	f izy.	
1000	Fr.	
1000	Gen.	
1000	geom.	
1000	gn.	
1000	Gnkur.	
1000	Gön.	
1000	gr.	
1000	hay.b.	
1000	haz.	
1000	hek.	
1000	hlk.	
1000	Hs.Uzm.	
1000	huk.	
1000	Hv.Kuv. K.	
1000	Hv.Kuv.	
1000	Hz.öz.	
1000	Hz.	
1000	İbr.	
1000	İng.	
1000	is.	
1000	İsp.	
1000	işl.	
1000	İt.	
1000	Jap.	
1000	jeol.	
1000	kim.	
1000	koor.	
1000	Kor.	
1000	Kora.	
1000	Korg.	
1000	kr.	
1000	krş.	
1000	Kur.Bşk.	
1000	Kur.	
1000	Lat.	
1000	Ltd.	
1000	Mac.	
1000	Mah.	
1000	man.	
1000	mat.	
1000	Md.	
1000	mec.	
1000	mim.	
1000	min.	
1000	Mür.	
1000	müz.	
1000	No.	
1000	Nö.	
1000	Nö.Sb.	
1000	Okt.	
1000	Onb.	
1000	Opr.	
1000	Or.	
1000	Ora.	
1000	Ord.	
1000	Org.	
1000	Ort.	
1000	Osm.T.	
1000	öl.	
1000	ör.	
1000	öz.	
1000	ped.	
1000	Port.	
1000	Prof.	
1000	psikol.	
1000	Rum.	
1000	Rus.	
1000	sa.	
1000	Sb.	
1000	sf.	
1000	Sl.	
1000	Sn.	
1000	sn.	
1000	snt.	
1000	Sok.	
1000	sos.	
1000	sp.	
1000	Srp.	
1000	Şb.	
1000	T.	
1000	T.C.	
1000	tar.	
1000	Tb.	
1000	tek.	
1000	tel.	
1000	telg.	
1000	Tğm.	
1000	tic.	
1000	tiy.	
1000	tlks.	
1000	tls.	
1000	Top.	
1000	Tug.	
1000	Tuğa.	
1000	Tuğg.	
1000	Tüm.	
1000	Tüma.	
1000	Tümg.	
1000	Uzm.	
1000	Üçvş.	
1000	ünl.	
1000	Ütğm.	
1000	vb.	
1000	vd.	
1000	Vet.	
1000	vs.	
1000	Y.Mim.	
1000	Y.Müh.	
1000	Yay.	
1000	Yb.	
1000	Yd.	
1000	Yrd.	
1000	Yun.	
1000	yy.	
1000	Yzb.	
1000	zf.	
1000	zm.	
1000	zool.	
999	A.
999	B.
999	C.
999	Ç.
999	D.
999	E.
999	F.
999	G.
999	H.
999	I.
999	İ.
999	J.
999	K.
999	L.
999	M.
999	N.
999	O.
999	Ö.
999	P.
999	R.
999	S.
999	Ş.
999	U.
999	Ü.
999	V.
999	Y.
999	Z.
586	d.	
432	m.	
265	b.	
253	s.	
54	v.	
47	y.	
34	a.	
26	o.	
21	p.	
21	c.	
20	l.	
20	g.	
16	e.	
14	h.	
9	k.	
9	i.	
8	t.	
8	n.	
6	u.	
6	ç.	
5	f.	
2	r.	
2	ı.	
1	z.	
1	w.	
1	ô.	
1	j.	
1	a.g.e.
