a	a
aa	aː
b	b
bh	bʱ
bhy	bʲʱ
bv	b̪v
bvh	b̪vʱ
by	bʲ
ch	tʃʰ
chw	tʃʷʰ
c	tʃ
cw	tʃʷ
d	d
dh	dʱ
dhl	dɮ
dl	dˡ
dlw	dˡʷ
dw	dʷ
dy	dʲ
dz	dz
dzh	dzʱ
dzhw	dzʷʱ
dzw	dzᵝ
ee	ɛː
e	ɛ
g	ɡ
gh	ɡʱ
ghw	ɡʷʱ
gq	ᶢǀ
gqw	ᶢǀʷ
gw	ɡʷ
i	i
ii	iː
j	dʒ
jh	dʒʱ
jw	dʒʷ
kh	kʰ
khw	kʷʰ
k	k
kw	kʷ
mh	mʱ
m	m
my	mʲ
nh	nʱ
n'h	ŋʱ
nhw	nʷʱ
n'hw	ŋʷʱ
n	n
n'	ŋ
nw	nʷ
n'w	ŋʷ
ny	ɲ
nyw	ɲʷ
oo	ɔː
o	ɔ
pfh	p̪fʰ
pf	p̪f
ph	pʰ
phy	pʲʰ
p	p
py	pʲ
qh	ᵏǀʰ
qhw	ᵏǀʷʰ
q	ᵏǀ
rh	rʱ
rhw	rʷʱ
r	r
rw	rʷ
th	tʰ
thw	tʷʰ
thy	tʲʰ
tlh	tˡʰ
tlhw	tˡʷʰ
tl	tˡ
tlw	tˡʷ
tsh	tsʰ
tsh	tsᶲʰ
ts	ts
tsw	tsᶲ
tsw	tsʷ
t	t
tw	tʷ
ty	tʲ
u	u
uu	uː
wh	wʱ
w	w
yh	jʱ
y	j
yw	jʷ
